a,b,c,true_class,predicted_class
4.40459,4.53929,4.14864,1.0,1.0
-1.29841,-4.84543,4.28319,1.0,1.0
-0.71816,4.66655,4.6362,1.0,1.0
3.53009,-2.05551,-1.14902,0.0,0.0
3.51137,-1.83078,-3.30507,1.0,1.0
0.56801,4.36155,1.9603,0.0,0.0
0.70061,-4.02824,1.15007,1.0,1.0
4.90054,-3.59916,0.1833,1.0,1.0
3.77373,2.40769,1.97016,1.0,1.0
2.02484,-1.40509,-2.06408,0.0,0.0
3.09361,3.10113,3.67072,1.0,1.0
4.13241,0.11342,0.01516,1.0,1.0
2.98295,1.49964,2.01967,0.0,0.0
2.95793,3.90005,-1.62005,1.0,1.0
-1.24417,-4.06018,0.7828,1.0,1.0
-4.64058,-0.34402,0.42645,1.0,1.0
-2.13459,0.90833,-4.695,1.0,1.0
-4.62652,3.22601,-1.39809,0.0,0.0
-3.72939,0.22243,2.69994,1.0,1.0
-2.84179,1.2289,-4.14653,1.0,1.0
-4.48318,0.31355,0.40635,0.0,0.0
1.3743,2.26091,4.75852,0.0,0.0
0.163,-1.77044,2.95186,0.0,0.0
-2.29168,-0.61029,-4.21544,0.0,0.0
-4.74649,4.62648,3.3598,1.0,1.0
1.95974,-0.91047,-3.26706,0.0,0.0
-3.43563,-2.49757,0.49227,0.0,0.0
2.14596,1.60197,-2.20066,0.0,0.0
4.54865,2.37897,0.54354,0.0,0.0
1.11721,-0.804,-2.52269,0.0,0.0
-1.44027,2.57846,-4.85607,0.0,0.0
-3.83927,-4.53997,-4.59271,0.0,0.0
3.55461,2.03658,-0.25826,1.0,1.0
-4.02166,-0.08384,-0.26528,0.0,0.0
-3.26798,-0.66148,-1.01495,1.0,1.0
1.1585,1.35094,-4.54696,0.0,0.0
-1.25387,1.2586,0.03136,0.0,1.0
3.5649,1.58694,-3.37066,0.0,0.0
-4.29431,1.42419,-4.73489,0.0,0.0
0.85776,4.4023,0.75474,0.0,0.0
-1.1183,1.43288,-0.41747,0.0,0.0
0.45617,4.41465,-1.13897,0.0,0.0
4.61191,4.05351,-3.04209,1.0,1.0
-4.30639,-3.99222,-4.81778,0.0,0.0
-4.05557,1.83007,-4.28811,1.0,1.0
-1.81024,3.44875,-4.76728,1.0,1.0
3.14468,-2.18145,-3.81835,1.0,1.0
1.96737,1.28943,3.77472,0.0,0.0
2.35071,3.03481,-2.17965,1.0,1.0
-3.2256,2.50615,3.06835,0.0,0.0
4.90505,-0.87382,-1.27982,0.0,0.0
2.76413,-1.59196,4.30757,0.0,0.0
3.58413,-0.71006,2.50871,1.0,1.0
2.54543,-3.96876,4.02553,0.0,0.0
0.05252,3.26457,-1.7995,1.0,1.0
3.95523,-1.10798,-4.89162,0.0,0.0
4.05382,-4.08713,-1.80686,1.0,1.0
4.50062,4.50607,0.73438,1.0,1.0
1.31837,-0.51554,-2.06789,1.0,1.0
-1.71335,1.72518,2.52375,0.0,0.0
2.91579,2.89618,-4.08794,1.0,1.0
-0.0558,-4.42441,0.49529,1.0,1.0
-0.58469,3.87704,-1.49085,0.0,0.0
-3.82933,-3.57008,2.61511,0.0,0.0
1.18218,-3.98877,-4.15893,1.0,1.0
2.00969,-4.27237,3.2186,0.0,0.0
2.06242,-4.18651,-4.15162,1.0,1.0
4.8664,-1.25729,-1.29358,0.0,0.0
3.128,4.47249,4.86001,1.0,1.0
2.53378,-1.2374,-4.16499,0.0,0.0
2.77147,0.58404,-0.75778,0.0,0.0
4.06354,-3.88803,-0.07375,0.0,0.0
-4.88646,-0.31339,-4.43697,1.0,1.0
-3.81182,-3.82474,1.4921,0.0,0.0
2.46045,0.83369,4.62173,1.0,1.0
-1.25129,-2.14288,3.68599,1.0,1.0
-2.76404,4.63223,-4.87846,0.0,0.0
4.69879,-4.5684,3.91143,0.0,0.0
0.27701,4.92965,-4.26203,0.0,0.0
0.53854,4.69303,0.23098,0.0,0.0
1.29399,1.95749,-0.45459,0.0,0.0
1.27558,0.84314,4.01158,1.0,1.0
-4.54554,-2.19037,4.50411,1.0,1.0
3.90264,-0.44343,1.20133,0.0,0.0
-2.22619,-3.11879,-0.36302,1.0,1.0
-1.46648,0.83656,-4.22265,1.0,1.0
4.74395,4.86211,1.98162,1.0,1.0
0.36096,-1.90472,3.13795,1.0,1.0
1.84731,-3.37383,4.10927,1.0,1.0
3.22537,4.498,2.2572,0.0,0.0
1.13415,-0.81757,4.32728,1.0,1.0
3.66064,-4.54781,-4.73633,1.0,1.0
-1.23537,3.10553,4.87276,0.0,0.0
-3.49583,0.94131,-1.19109,0.0,0.0
4.69914,3.42119,3.38329,0.0,0.0
-0.31307,-0.8518,-2.26593,0.0,0.0
-4.43625,3.64722,3.12901,0.0,0.0
4.99718,4.96637,0.55432,1.0,1.0
2.68987,4.44766,3.49647,1.0,1.0
-2.52652,-0.49456,-3.70841,0.0,0.0
4.54051,1.06175,-2.71357,0.0,0.0
1.71701,1.18128,-1.41837,1.0,1.0
-3.86442,1.71573,0.20308,0.0,0.0
2.72318,0.20164,3.52182,0.0,0.0
0.51907,0.60938,3.76654,1.0,0.0
-0.96517,-3.65985,-4.71217,0.0,0.0
2.55137,1.2031,2.0408,0.0,0.0
-2.87036,-3.63629,-4.85455,0.0,0.0
-1.49412,0.89918,-1.07756,1.0,1.0
-0.62525,4.04159,-1.51745,1.0,1.0
0.13989,2.83653,-1.03457,0.0,0.0
1.22087,3.62364,4.49521,0.0,0.0
-3.52927,4.26588,-0.07884,1.0,1.0
-2.41756,-0.40864,4.80033,1.0,1.0
-0.07382,-1.71248,1.33401,1.0,1.0
-2.59854,-4.24137,-3.7112,1.0,1.0
-3.71954,-3.48097,-3.61173,1.0,1.0
1.40875,-3.1812,-1.54333,1.0,1.0
3.96788,-0.26038,1.67558,1.0,1.0
-3.2768,-3.07711,-4.59131,1.0,1.0
-3.31065,-2.2141,-3.2299,1.0,1.0
-4.11297,-3.79364,-0.39221,0.0,0.0
-2.93666,-1.3573,0.03417,1.0,1.0
1.90395,-4.60688,2.9941,1.0,1.0
1.279,-4.18241,3.73579,1.0,1.0
4.20872,-4.38922,-2.23122,0.0,0.0
3.06201,2.4826,-3.15479,1.0,1.0
-2.90651,-1.29528,-0.15477,1.0,1.0
1.18255,-1.31086,-0.37465,0.0,0.0
2.47471,-4.63317,-2.47563,1.0,1.0
2.1335,3.95207,0.11677,1.0,1.0
0.32113,-3.92828,-0.52588,0.0,0.0
0.32617,-2.57529,-2.30757,0.0,0.0
-1.22716,-4.79929,-1.77921,1.0,1.0
-2.88552,-1.72503,-3.80238,1.0,1.0
3.90527,0.93592,1.79102,0.0,0.0
2.89171,-0.01558,-4.1308,0.0,0.0
0.37107,0.86841,2.45439,0.0,1.0
-0.6834,-3.7242,-2.16224,0.0,0.0
-1.36918,1.45917,0.70778,0.0,0.0
-1.43903,4.86515,1.05775,1.0,1.0
-2.62773,-3.98218,-3.47141,1.0,1.0
-2.54042,-3.39319,-3.13433,1.0,1.0
-2.14905,-3.26626,3.96765,0.0,0.0
-4.19766,0.24511,-0.89603,0.0,0.0
4.82379,-3.87961,-1.02144,0.0,0.0
4.6947,3.65507,3.17072,1.0,1.0
-2.42097,-3.29112,1.68643,1.0,1.0
4.29376,0.56763,0.71613,1.0,1.0
-2.20021,2.69493,-3.12956,0.0,0.0
-1.76321,-0.74564,0.0761,1.0,1.0
-2.5759,-3.85163,1.1062,1.0,1.0
-2.11369,0.81238,-3.45637,1.0,1.0
-0.1886,0.32589,-4.48176,1.0,1.0
-1.63396,-3.65585,-4.36625,1.0,1.0
4.8996,-1.77646,3.09874,0.0,0.0
-2.45359,1.81503,2.60228,1.0,1.0
0.95639,-0.28424,-0.88159,0.0,0.0
-1.51132,4.29529,3.30619,0.0,0.0
4.65027,-3.75703,2.30867,0.0,0.0
4.3834,-3.18767,-4.33504,1.0,1.0
2.41121,0.74473,3.41829,0.0,0.0
-3.60228,2.95267,-2.98373,1.0,1.0
-3.36344,-3.35734,3.14575,1.0,1.0
1.65197,0.23065,-1.4117,1.0,1.0
3.77201,-1.07555,3.16599,1.0,1.0
-0.60865,-1.23056,-0.3732,1.0,1.0
-1.98622,2.47609,0.0272,0.0,0.0
-2.67787,3.99575,-1.16109,0.0,0.0
0.43553,4.06472,1.24238,1.0,1.0
-3.83102,4.39832,1.27708,0.0,0.0
-1.65094,-3.60728,2.94025,0.0,0.0
1.20073,0.33461,3.93893,1.0,1.0
2.88597,-3.48325,-1.88278,1.0,1.0
-2.51511,2.43946,-4.66468,1.0,1.0
0.6989,2.62459,3.76766,1.0,1.0
-1.57918,3.21257,-3.89368,1.0,1.0
3.46452,-3.72511,-1.02713,0.0,0.0
2.97295,-3.50083,-2.70749,0.0,0.0
2.22253,2.20037,1.41148,1.0,1.0
1.93948,0.42724,-2.48201,0.0,0.0
-1.54304,-3.18402,4.08451,0.0,0.0
0.83392,-0.99149,-0.37994,1.0,1.0
4.47283,-3.46649,0.8623,0.0,0.0
0.05889,1.11454,-4.8189,0.0,0.0
3.72124,4.32118,0.65133,0.0,0.0
1.96651,4.22499,2.07239,0.0,0.0
-3.47461,0.76288,1.06715,0.0,0.0
-0.75869,2.36444,4.34367,1.0,1.0
4.25569,-0.49161,-3.86762,1.0,1.0
4.84841,3.38898,-3.75337,0.0,0.0
4.20842,3.69896,0.18838,0.0,0.0
0.91275,-1.00997,-4.45238,0.0,0.0
-1.64803,3.02853,-4.95368,1.0,1.0
-1.66501,-1.01831,0.37396,0.0,0.0
4.19856,-1.53654,-1.53047,1.0,1.0
2.37501,-0.47782,-2.75395,0.0,0.0
-0.4756,-3.59143,-3.23613,1.0,1.0
-0.01632,-0.81075,4.14846,0.0,0.0
-1.37606,0.80588,1.32264,0.0,0.0
-4.86906,1.63537,-3.21964,0.0,0.0
4.6107,-3.51337,-0.85376,1.0,1.0
-4.1465,4.96874,0.02195,0.0,0.0
0.95385,-4.32924,2.4996,0.0,0.0
-2.90094,3.98054,-2.9486,1.0,1.0
-3.09312,-4.6345,-0.27933,0.0,0.0
0.64841,-4.34291,2.75528,0.0,0.0
-0.46711,0.2439,-0.59237,1.0,1.0
-0.99237,0.5964,-3.4476,0.0,0.0
-3.18072,3.61786,4.46115,1.0,1.0
-1.26691,-2.29255,1.44,0.0,0.0
-0.91266,-4.74614,-3.43847,0.0,0.0
2.15972,1.58924,-4.72904,0.0,0.0
-2.78028,-2.68925,1.71893,1.0,1.0
-4.80289,-3.95891,2.99916,1.0,1.0
-3.21455,1.52746,-2.61817,1.0,1.0
-4.00559,-2.56828,2.22267,0.0,0.0
3.55696,3.3022,-1.02816,1.0,1.0
1.68085,-2.95016,-2.06852,0.0,0.0
3.96336,-4.86998,-4.14491,0.0,0.0
-2.92114,-4.73468,-3.18565,1.0,1.0
0.83042,-0.78575,3.92672,0.0,0.0
3.17444,-1.58183,-2.40577,0.0,0.0
-1.20308,0.90295,-2.31936,0.0,0.0
1.24149,-0.90588,0.52047,1.0,1.0
-0.63873,-2.05534,4.48453,0.0,0.0
2.63606,-3.59887,3.68468,0.0,0.0
-0.12569,3.94552,2.99855,1.0,1.0
-0.74786,-4.77531,-2.31323,0.0,0.0
0.41634,1.33478,-2.42112,0.0,0.0
-3.60644,3.3493,4.84402,1.0,1.0
0.2569,-3.28321,-2.27693,1.0,1.0
-4.81609,4.14299,-3.82249,0.0,0.0
0.76516,-2.25945,0.54178,1.0,1.0
1.5142,3.29742,-2.93579,0.0,0.0
-4.89004,-3.63114,4.00019,1.0,1.0
3.7389,0.97413,1.00517,0.0,0.0
1.65037,-3.24629,4.14412,0.0,0.0
-0.81229,-1.16861,0.18918,0.0,0.0
-4.53034,-3.33717,2.38034,1.0,1.0
-4.17201,1.03152,-2.54651,1.0,1.0
-1.10704,-2.11306,-1.44327,1.0,1.0
2.19046,-2.02878,0.66405,1.0,1.0
-0.2395,1.63671,4.3683,0.0,0.0
2.32572,-2.8506,-4.68817,0.0,0.0
-2.37736,0.95078,-4.48574,1.0,1.0
-0.03634,0.96843,-1.65756,1.0,1.0
2.70912,-3.93402,-4.24862,1.0,1.0
2.28189,-0.04509,1.88402,0.0,0.0
-0.65173,-2.53598,3.19102,0.0,0.0
2.99416,1.94696,-2.27855,0.0,0.0
0.90231,-1.39026,-4.08418,0.0,0.0
4.17314,-3.63181,4.50237,0.0,0.0
-0.53994,-3.14867,0.41901,0.0,0.0
3.72946,2.32225,3.06561,1.0,1.0
1.58783,1.92277,3.49196,0.0,0.0
-2.50332,-0.10575,-2.78791,0.0,0.0
4.87668,4.44059,-4.60573,1.0,1.0
2.05575,4.25248,-3.19425,0.0,0.0
0.67945,4.15488,-4.66054,1.0,1.0
1.9742,-2.02651,4.24396,0.0,0.0
4.71058,4.44266,-0.25786,1.0,1.0
3.62043,3.44549,-1.809,1.0,1.0
3.28915,-4.62992,0.9627,1.0,1.0
-2.69991,-3.79433,-4.23047,1.0,1.0
1.96289,-1.60125,2.24767,0.0,1.0
-4.34644,-1.8471,0.39491,0.0,0.0
2.90723,-1.81247,1.25891,1.0,1.0
3.85978,1.15863,-2.67041,1.0,1.0
-4.75599,3.70099,-4.78731,1.0,1.0
3.74702,0.28937,4.39068,0.0,0.0
2.98783,4.97934,-1.49288,1.0,1.0
2.67188,-0.98069,-0.20124,1.0,1.0
1.27505,3.73677,4.84083,1.0,1.0
2.68273,-0.82233,-0.78643,0.0,0.0
2.37582,-2.61223,-3.89526,1.0,1.0
-1.45378,-2.12761,-2.03692,0.0,0.0
-2.66392,-4.57907,-4.82126,0.0,0.0
4.87722,-0.72227,-1.15673,1.0,1.0
1.79647,-2.81746,4.49961,0.0,0.0
2.86345,-4.10589,-0.82419,1.0,1.0
3.79118,4.44732,-0.32598,0.0,0.0
1.13411,-3.32966,4.91169,0.0,0.0
-2.68328,4.42732,1.49647,0.0,0.0
1.07737,0.12689,-2.6933,0.0,0.0
-3.23472,-2.79514,-3.13562,0.0,0.0
2.79584,-1.49875,-4.42157,0.0,0.0
4.69103,3.83786,4.27752,1.0,1.0
4.94908,-3.26105,-1.03758,1.0,1.0
2.58238,1.96021,-3.46104,1.0,1.0
3.15833,-2.75559,-2.76182,1.0,1.0
0.36974,0.9294,0.80086,0.0,0.0
-4.08513,3.77461,-2.344,1.0,1.0
-3.70485,3.88748,4.55651,1.0,1.0
3.62128,3.09516,1.55242,0.0,0.0
0.50857,-4.13013,-0.91547,1.0,1.0
-1.27311,-2.40246,2.2342,0.0,0.0
-0.04124,-4.18954,-2.79817,1.0,1.0
1.83259,-4.23869,3.51207,0.0,0.0
-0.04853,-0.19413,0.92408,0.0,1.0
3.24681,-1.52191,1.78016,0.0,0.0
0.65732,-2.32972,3.7863,0.0,0.0
2.97426,1.58452,3.50582,1.0,1.0
3.67294,2.08363,3.37013,1.0,1.0
1.97471,1.80141,1.18611,0.0,0.0
2.52717,-3.41395,3.80871,0.0,0.0
3.71844,-4.70753,3.25817,0.0,0.0
-3.7113,-1.64881,2.43508,1.0,1.0
-3.3924,3.17967,3.32134,0.0,0.0
0.07468,-4.93614,-2.12962,1.0,1.0
1.16927,4.81186,1.31814,1.0,1.0
-2.40196,1.34006,0.39985,1.0,1.0
2.79845,-3.93019,2.61028,1.0,1.0
0.41267,4.62992,-1.58128,1.0,1.0
1.32622,4.32028,-3.9749,1.0,1.0
4.37228,1.87886,-4.32163,1.0,1.0
-1.99036,2.08172,-4.32649,1.0,1.0
0.8217,-1.54117,1.20916,1.0,1.0
-4.54258,3.71537,4.73489,1.0,1.0
4.68878,2.49652,-3.69914,1.0,1.0
2.58263,-4.75413,-4.77876,1.0,1.0
-1.7639,-0.11357,2.70407,1.0,0.0
1.83295,-0.54097,-2.26373,0.0,0.0
4.97125,-0.73819,-0.48613,0.0,0.0
-3.36376,2.9481,1.93682,1.0,1.0
-2.7923,-4.17619,1.80499,0.0,0.0
1.54511,-2.2674,4.50864,0.0,0.0
-3.48942,-0.67665,4.43616,0.0,0.0
-0.80273,1.38526,-1.02406,1.0,1.0
-2.25785,4.83978,-0.90666,1.0,1.0
3.94099,-2.70045,-2.86895,0.0,0.0
-4.68866,1.51667,-1.31474,0.0,0.0
3.64358,-0.2679,4.68193,1.0,1.0
-3.14474,3.68623,2.76597,1.0,1.0
2.70922,3.44783,2.61024,0.0,0.0
1.2622,-3.68755,-4.67474,0.0,0.0
4.20848,1.1665,2.96537,1.0,1.0
-0.18478,-3.82692,-3.74814,1.0,1.0
1.85565,-0.69694,-2.99475,1.0,1.0
-0.08405,-4.35791,0.81971,1.0,1.0
-2.31007,2.97559,-1.89638,1.0,1.0
-0.4478,-4.88379,-4.27553,0.0,0.0
-1.07506,-0.20061,1.00021,0.0,0.0
-2.08337,1.94982,3.60122,1.0,1.0
2.79851,-4.60381,-0.19493,1.0,1.0
-3.9507,-2.57955,4.86663,1.0,1.0
-3.57504,-0.01112,1.18156,1.0,1.0
2.02465,0.59649,-4.90229,1.0,1.0
-1.73539,0.17712,-4.12134,1.0,1.0
-1.49373,-4.66797,-4.21422,0.0,0.0
-1.03077,-3.67284,0.67541,0.0,0.0
1.89465,3.00587,-2.9985,1.0,1.0
-3.32517,-3.95432,1.3643,0.0,0.0
2.06476,-4.68414,4.36212,0.0,0.0
-4.48029,0.41296,2.09061,1.0,1.0
3.70969,2.14087,3.01728,1.0,1.0
-1.6055,3.14825,-4.19885,0.0,0.0
3.94817,0.47592,3.17298,1.0,1.0
-0.47682,1.43578,0.26403,0.0,0.0
2.3159,-4.1837,-4.39648,0.0,0.0
-2.52897,-3.40455,3.71784,1.0,1.0
-2.80786,4.75865,-1.63104,1.0,1.0
-3.17882,2.89699,1.58708,0.0,0.0
-0.01804,0.55364,2.19202,0.0,1.0
-2.71545,4.96334,4.74793,0.0,0.0
1.50326,-3.00458,1.80228,1.0,1.0
-4.27802,-4.69347,-2.42317,1.0,1.0
-0.37377,3.68273,2.27169,0.0,0.0
2.42707,-0.74507,-1.54065,0.0,0.0
-1.28961,4.8765,-4.59891,1.0,1.0
3.67031,0.78675,-0.61385,1.0,1.0
2.25258,-0.13331,3.73423,1.0,1.0
4.00702,-0.78279,-2.23172,0.0,0.0
0.9235,4.12363,-2.89338,1.0,1.0
1.22967,1.3156,2.33113,0.0,0.0
-3.68432,2.15825,4.09033,0.0,0.0
-3.20317,-2.62457,4.71395,0.0,0.0
-3.19023,3.54385,-0.07722,1.0,1.0
-2.52769,3.7075,-0.54695,1.0,1.0
0.14817,-1.40767,0.92951,1.0,1.0
-3.36476,-1.08918,4.69412,1.0,1.0
-2.41867,1.56737,-1.7481,0.0,0.0
2.73473,-3.69126,4.69821,0.0,0.0
-0.4621,-2.6395,-4.26503,1.0,1.0
-3.30242,0.19774,-1.62997,1.0,1.0
3.28883,-0.69112,-2.51286,1.0,1.0
1.17145,2.06777,-3.32958,0.0,0.0
-3.32381,-4.63329,2.36402,0.0,0.0
1.63805,-0.25369,3.4417,0.0,0.0
3.0567,0.85354,3.68271,1.0,1.0
-2.94159,-3.8808,-2.3025,1.0,1.0
-4.42913,0.3117,4.36606,0.0,0.0
-4.60656,-3.7789,-0.47801,0.0,0.0
4.33875,-1.83844,0.07235,0.0,0.0
-4.58427,-3.51657,4.8663,0.0,0.0
4.65119,-4.9506,4.51812,1.0,1.0
1.3912,3.67918,-0.4526,1.0,1.0
0.15596,-0.11153,1.66864,1.0,0.0
-3.60349,-4.70026,-1.9207,0.0,0.0
2.04681,-2.98147,1.73432,1.0,1.0
4.69912,-4.06099,1.72602,1.0,1.0
-0.5625,3.68142,-3.2285,0.0,0.0
1.92626,3.38115,4.44614,1.0,1.0
1.83248,-0.02825,1.17847,1.0,1.0
3.68905,0.7061,-4.69613,0.0,0.0
4.30949,1.89527,1.76513,1.0,1.0
-2.84325,1.58885,-1.06136,1.0,1.0
1.51233,-3.93407,1.57845,1.0,1.0
4.99414,-4.51788,4.77174,0.0,0.0
-0.93092,3.70753,2.82385,0.0,0.0
0.67016,2.38449,3.78516,0.0,0.0
-0.9586,-1.72967,1.67593,1.0,1.0
3.07846,2.62285,2.97814,0.0,0.0
-0.64417,3.17834,-3.79791,1.0,1.0
0.44489,-4.94241,-1.75414,1.0,1.0
-1.33538,-1.03827,1.95467,0.0,0.0
-1.11442,-0.51306,-2.62456,1.0,1.0
-1.26748,-2.7273,-4.26804,0.0,0.0
1.03449,1.68213,1.1949,0.0,0.0
-0.36506,-1.20214,3.63334,0.0,0.0
0.19082,-0.20818,-4.74358,1.0,1.0
-1.58752,-1.19804,-1.01177,1.0,1.0
0.80172,0.33603,1.07905,0.0,0.0
2.64883,3.12986,2.18123,1.0,1.0
4.55524,-4.81767,-3.04222,1.0,1.0
-4.92437,1.47475,3.98031,0.0,0.0
-2.56518,4.27035,-4.39733,0.0,0.0
4.34436,-1.48377,-3.98579,0.0,0.0
-0.14128,-2.43223,-2.15127,1.0,1.0
-1.9271,3.03026,0.39161,1.0,1.0
-1.88692,1.10334,2.16151,0.0,0.0
-2.27376,-0.86451,-3.78114,0.0,0.0
-3.18851,1.81118,-3.18562,0.0,0.0
0.25163,2.09046,-3.93123,0.0,0.0
0.67312,-2.43437,4.62927,1.0,1.0
-0.16454,3.05993,0.50227,0.0,0.0
-4.56587,1.33151,4.51403,1.0,1.0
1.01612,3.19189,3.84206,1.0,1.0
-2.7192,-2.87955,1.10981,0.0,0.0
-0.88972,3.39861,4.00023,0.0,0.0
-1.46579,-2.63129,2.80526,0.0,0.0
-2.25194,3.22614,-0.76262,0.0,0.0
1.6755,-4.04465,1.23859,1.0,1.0
-0.48232,0.86608,-3.31986,1.0,1.0
2.36874,3.62797,-2.8326,0.0,0.0
-4.04285,-4.76361,1.41972,0.0,0.0
1.07094,0.46697,-2.68053,0.0,0.0
-1.09094,0.94476,-0.03233,0.0,0.0
4.87786,-3.6356,1.95145,1.0,1.0
-0.95681,-0.718,2.17598,0.0,0.0
1.92436,4.91256,-3.71606,1.0,1.0
-3.9589,2.24339,0.78387,1.0,1.0
-2.25839,-4.20581,-4.14342,0.0,0.0
3.94191,-3.08133,-1.76628,1.0,1.0
-2.73344,-1.45004,-4.30576,1.0,1.0
0.1906,-4.32387,3.00357,0.0,0.0
-2.66288,0.40012,3.80079,0.0,0.0
1.50877,0.32958,-1.75666,0.0,0.0
-1.66998,1.69487,4.94139,1.0,1.0
1.61839,0.57783,2.30651,0.0,0.0
-0.34794,-4.39858,0.62297,1.0,1.0
4.57625,-3.24697,1.90005,1.0,1.0
-2.99066,0.35828,-4.03324,1.0,1.0
-0.49629,2.56163,-1.52428,0.0,0.0
1.64912,2.9545,4.27178,1.0,1.0
-2.65358,-1.00684,-3.47584,0.0,0.0
4.92484,4.27001,0.39957,0.0,0.0
3.42033,0.20958,1.23586,1.0,1.0
-4.10876,2.5527,-3.72287,0.0,0.0
3.26068,2.82028,2.08745,1.0,1.0
-4.6384,-1.96872,-2.36887,0.0,0.0
-1.39864,-4.12357,4.36958,1.0,1.0
0.53802,-1.94476,-1.03018,1.0,1.0
-0.52797,1.00594,0.15679,1.0,1.0
4.19392,-0.03037,4.92158,0.0,0.0
3.51425,-2.91489,4.30595,0.0,0.0
-3.83634,3.1745,-1.19377,1.0,1.0
3.77974,3.68057,3.05925,1.0,1.0
2.9003,-1.95321,-4.19081,0.0,0.0
-0.9702,-3.26475,1.94951,0.0,0.0
-1.539,4.7561,1.40972,0.0,0.0
3.22481,-3.67475,3.62014,0.0,0.0
4.22757,-0.12938,1.06253,0.0,0.0
2.6481,-3.25161,0.02566,1.0,1.0
-1.01337,-3.53626,-1.32466,0.0,0.0
-4.31828,-4.74188,-3.64834,0.0,0.0
4.63115,0.4953,4.65822,1.0,1.0
-0.67502,-1.88184,0.06142,0.0,0.0
-0.60488,-3.94335,1.40826,1.0,1.0
-2.83962,1.19588,1.50201,1.0,1.0
-3.47975,-4.3865,2.80762,1.0,1.0
