a,b,c,d,e,f,g,h,i,j,class
0.709,0.063,0.058,0.932,0.806,0.254,0.342,0.826,0.619,0.265,0
0.449,0.856,0.001,0.992,0.566,0.182,0.8,0.076,0.41,0.573,1
0.247,0.885,0.697,0.162,0.153,0.062,0.571,0.187,0.543,0.819,0
0.879,0.116,0.332,0.417,0.383,0.419,0.46,0.757,0.306,0.343,0
0.39,0.151,0.63,0.4,0.916,0.821,0.23,0.242,0.782,0.56,1
0.01,0.63,0.395,0.785,0.747,0.922,0.699,0.913,0.285,0.339,0
0.059,0.867,0.154,0.551,0.509,0.814,0.388,0.143,0.383,0.048,1
0.301,0.63,0.057,0.99,0.536,0.3,0.834,0.137,0.322,0.937,0
0.24,0.733,0.081,0.532,0.658,0.21,0.328,0.551,0.59,0.154,0
0.411,1.0,0.322,0.785,0.202,0.461,0.518,0.596,0.718,0.796,0
0.7,0.807,0.886,0.326,0.827,0.52,0.259,0.173,0.764,0.637,0
0.071,0.587,0.045,0.391,0.571,0.65,0.158,0.045,0.576,0.819,1
0.797,0.36,0.577,0.719,0.873,0.492,0.876,0.318,0.219,0.294,0
0.73,0.885,0.471,0.696,0.139,0.507,0.435,0.432,0.188,0.623,0
0.672,0.636,0.743,0.458,0.853,0.571,0.882,0.41,0.7,0.197,1
0.083,0.932,0.371,0.046,0.618,0.933,0.769,0.987,0.935,0.456,1
0.234,0.065,0.272,0.632,0.911,0.002,0.817,0.764,0.691,0.128,1
0.053,0.737,0.641,0.37,0.346,0.033,0.993,0.837,0.974,0.818,0
0.459,0.845,0.198,0.672,0.237,0.392,0.872,0.425,0.894,0.6,1
0.294,0.26,0.003,0.572,0.839,0.225,0.479,0.984,0.393,0.938,1
0.827,0.495,0.635,0.066,0.516,0.76,0.23,0.051,0.029,0.16,0
0.238,0.805,0.459,0.536,0.313,0.299,0.553,0.746,0.181,0.435,0
0.644,0.96,0.269,0.393,0.569,0.142,0.612,0.974,0.273,0.481,0
0.118,0.518,0.972,0.542,0.214,0.311,0.626,0.857,0.453,0.49,1
0.809,0.105,0.951,0.465,0.332,0.779,0.256,0.146,0.258,0.673,0
0.101,0.451,0.236,0.546,0.138,0.774,0.924,0.319,0.354,0.598,1
0.739,0.058,0.675,0.814,0.793,0.439,0.823,0.547,0.187,0.286,1
0.593,0.552,0.802,0.715,0.213,0.397,0.778,0.458,0.225,0.937,0
0.449,0.309,0.511,0.301,0.27,0.662,0.795,0.409,0.161,0.476,0
0.402,0.436,0.24,0.77,0.202,0.039,0.7,0.743,0.239,0.173,0
0.581,0.92,0.254,0.54,0.264,0.742,0.467,0.379,0.656,0.531,1
0.201,0.416,0.956,0.801,0.512,0.66,0.142,0.413,0.895,0.188,1
0.982,0.848,0.686,0.374,0.092,0.295,0.741,0.422,0.803,0.216,0
0.824,0.86,0.722,0.204,0.223,0.064,0.051,0.739,0.492,0.762,0
0.283,0.345,0.895,0.997,0.102,0.779,0.556,0.005,0.617,0.28,0
0.351,0.969,0.743,0.055,0.681,0.013,0.886,0.597,0.631,0.016,1
0.084,0.526,0.382,0.818,0.284,0.4,0.12,0.503,0.955,0.266,1
0.791,0.164,0.886,0.513,0.126,0.783,0.888,0.145,0.117,0.251,0
0.515,0.95,0.861,0.325,0.037,0.596,0.575,0.242,0.604,0.982,1
0.144,0.315,0.848,0.159,0.129,0.172,0.77,0.127,0.091,0.627,1
0.767,0.756,0.433,0.917,0.151,0.442,0.369,0.546,0.193,0.147,1
0.983,0.302,0.5,0.916,0.303,0.367,0.563,0.068,0.023,0.633,0
0.371,0.08,0.287,0.693,0.76,0.505,0.221,0.839,0.208,0.757,0
0.153,0.935,0.773,0.501,0.434,0.573,0.661,0.558,0.696,0.088,0
0.417,0.753,0.438,0.971,0.534,0.311,0.892,0.422,0.546,0.641,1
0.856,0.209,0.874,0.574,0.366,0.335,0.982,0.947,0.546,0.346,0
0.974,0.016,0.049,0.487,0.587,0.007,0.187,0.086,0.25,0.183,0
0.124,0.129,0.371,0.129,0.773,0.403,0.117,0.651,0.788,0.36,0
0.006,0.65,0.754,0.889,0.713,0.597,0.343,0.244,0.065,0.819,0
0.56,0.288,0.125,0.288,0.758,0.216,0.052,0.38,0.336,0.697,1
0.556,0.473,0.976,0.844,0.128,0.248,0.419,0.072,0.758,0.768,1
0.292,0.905,0.552,0.224,0.621,0.673,0.718,0.971,0.914,0.413,1
0.432,0.023,0.417,0.177,0.12,0.816,0.022,0.129,0.664,0.567,1
0.429,0.808,0.238,0.207,0.514,0.107,0.689,0.935,0.811,0.881,1
0.073,0.424,0.903,0.841,0.594,0.654,0.266,0.265,0.067,0.902,1
0.289,0.993,0.007,0.799,0.526,0.042,0.663,0.702,0.7,0.696,1
0.678,0.768,0.38,0.958,0.483,0.268,0.993,0.28,0.441,0.698,1
0.798,0.317,0.035,0.578,0.592,0.73,0.261,0.821,0.774,0.862,1
0.756,0.673,0.554,0.857,0.226,0.665,0.792,0.775,0.13,0.314,0
0.933,0.775,0.155,0.483,0.811,0.86,0.52,0.101,0.219,0.024,1
0.166,0.061,0.7,0.701,0.443,0.881,0.146,0.194,0.611,0.528,0
0.122,0.907,0.622,0.608,0.373,0.606,0.072,0.301,0.633,0.599,0
0.526,0.053,0.322,0.985,0.943,0.82,0.064,0.073,0.213,0.828,1
0.204,0.225,0.26,0.733,0.528,0.861,0.076,0.052,0.846,0.109,1
0.715,0.605,0.207,0.26,0.74,0.022,0.956,0.045,0.162,0.64,0
0.114,0.998,0.433,0.069,0.165,0.542,0.87,0.257,0.399,0.569,1
0.651,0.723,0.325,0.371,0.874,0.906,0.417,0.997,0.175,0.823,1
0.909,0.565,0.692,0.06,0.843,0.683,0.578,0.581,0.16,0.847,1
0.529,0.608,0.17,0.628,0.238,0.762,0.028,0.124,0.211,0.401,0
0.871,0.007,0.556,0.036,0.38,0.298,0.164,0.479,0.342,0.262,1
0.612,0.244,0.972,0.249,0.989,0.161,0.95,0.063,0.007,0.097,0
0.707,0.233,0.276,0.673,0.029,0.54,0.4,0.161,0.912,0.36,0
0.291,0.695,0.855,0.228,0.127,0.96,0.427,0.535,0.457,0.828,0
0.429,0.757,0.523,0.08,0.509,0.856,0.531,0.393,0.026,0.701,1
0.393,0.323,0.37,0.418,0.336,0.292,0.46,0.047,0.226,0.438,0
0.885,0.428,0.556,0.894,0.806,0.712,0.619,0.596,0.191,0.135,0
0.056,0.094,0.615,0.608,0.037,0.838,0.442,0.538,0.074,0.858,0
0.08,0.211,0.465,0.498,0.533,0.936,0.035,0.676,0.43,0.812,0
0.668,0.813,0.864,0.78,0.132,0.537,0.773,0.774,0.927,0.416,1
0.009,0.727,0.278,0.656,0.049,0.355,0.633,0.126,0.317,0.145,0
0.891,0.774,0.639,0.52,0.978,0.259,0.706,0.086,0.622,0.195,0
0.009,0.909,0.279,0.99,0.68,0.671,0.673,0.992,0.225,0.988,0
0.322,0.094,0.922,0.097,0.475,0.834,0.277,0.72,0.642,0.691,1
0.151,0.703,0.84,0.141,0.961,0.952,0.319,0.955,0.938,0.117,1
0.744,0.962,0.824,0.133,0.408,0.564,0.371,0.386,0.096,0.007,0
0.306,0.423,0.579,0.955,0.089,0.347,0.87,0.826,0.112,0.676,1
0.089,0.946,0.26,0.606,0.471,0.512,0.214,0.359,0.282,0.616,0
0.422,0.592,0.537,0.666,0.976,0.534,0.546,0.614,0.547,0.411,0
0.246,0.536,0.246,0.659,0.886,0.8,0.786,0.213,0.034,0.204,1
0.57,0.125,0.1,0.998,0.354,0.064,0.512,0.697,0.46,0.131,1
0.515,0.069,0.73,0.939,0.042,0.571,0.831,0.641,0.149,0.068,0
0.457,0.048,0.837,0.516,0.317,0.771,0.215,0.514,0.506,0.104,0
0.801,0.699,0.199,0.431,0.309,0.937,0.668,0.944,0.767,0.792,0
0.31,0.849,0.335,0.827,0.71,0.51,0.17,0.601,0.625,0.686,0
0.066,0.25,0.561,0.852,0.233,0.897,0.975,0.089,0.724,0.398,1
0.138,0.223,0.361,0.018,0.695,0.454,0.346,0.868,0.966,0.458,0
0.311,0.603,0.406,0.892,0.288,0.128,0.015,0.17,0.095,0.911,1
0.68,0.581,0.945,0.618,0.706,0.159,0.288,0.617,0.836,0.282,1
0.454,0.282,0.289,0.575,0.919,0.976,0.566,0.024,0.276,0.656,1
0.925,0.146,0.829,0.879,0.09,0.905,0.595,0.846,0.674,0.679,1
0.875,0.763,0.409,0.382,0.969,0.264,0.377,0.144,0.339,0.584,0
0.194,0.426,0.609,0.385,0.755,0.515,0.325,0.725,0.554,0.452,1
0.161,0.987,0.174,0.385,0.586,0.933,0.301,0.115,0.707,0.951,0
0.452,0.998,0.322,0.881,0.001,0.68,0.885,0.28,0.848,0.599,0
0.32,0.043,0.662,0.375,0.544,0.199,0.019,0.097,0.641,0.127,0
0.298,0.592,0.273,0.473,0.412,0.777,0.403,0.283,0.986,0.173,0
0.64,0.624,0.35,0.744,0.754,0.476,0.323,0.113,0.87,0.984,1
0.28,0.32,0.646,0.779,0.845,0.768,0.68,0.622,0.014,0.49,1
0.709,0.303,0.247,0.413,0.544,0.011,0.752,0.709,0.225,0.249,0
0.174,0.412,0.96,0.391,0.926,0.181,0.239,0.507,0.151,0.113,0
0.67,0.342,0.699,0.227,0.3,0.893,0.58,0.123,0.421,0.1,0
0.066,0.564,0.112,0.214,0.073,0.111,0.448,0.166,0.314,0.435,1
0.194,0.135,0.148,0.941,0.349,0.456,0.753,0.787,0.696,0.892,1
0.533,0.166,0.612,0.452,0.83,0.243,0.677,0.01,0.383,0.346,1
0.094,0.821,0.827,0.25,0.712,0.902,0.58,0.369,0.682,0.395,0
0.571,0.661,0.293,0.662,0.508,0.593,0.289,0.746,0.149,0.481,0
0.532,0.008,0.797,0.554,0.079,0.849,0.71,0.915,0.682,0.503,0
0.79,0.358,0.436,0.356,0.326,0.943,0.506,0.507,0.379,0.328,0
0.231,0.949,0.733,0.481,0.598,0.839,0.37,0.282,0.477,0.46,1
0.831,0.894,0.859,0.694,0.528,0.175,0.931,0.854,0.526,0.754,0
0.899,0.305,0.574,0.959,0.223,0.15,0.949,0.876,0.044,0.58,1
0.646,0.717,0.616,0.563,0.608,0.62,0.092,0.174,0.286,0.928,0
0.467,0.614,0.968,0.1,0.193,0.281,0.919,0.718,0.131,0.071,1
0.17,0.916,0.421,0.87,0.847,0.966,0.542,0.273,0.514,0.893,0
0.948,0.398,0.487,0.798,0.397,0.24,0.279,0.48,0.238,0.765,1
0.667,0.933,0.747,0.453,0.183,0.235,0.887,0.636,0.107,0.5,0
0.766,0.805,0.839,0.911,0.482,0.667,0.073,0.662,0.515,0.213,1
0.253,0.708,0.226,0.343,0.377,0.761,0.193,0.079,0.183,0.713,0
0.05,0.554,0.504,0.374,0.347,0.539,0.061,0.323,0.416,0.142,1
0.525,0.309,0.066,0.128,0.328,0.662,0.8,0.486,0.047,0.607,0
0.905,0.052,0.348,0.017,0.577,0.104,0.941,0.407,0.621,0.329,0
0.336,0.012,0.867,0.27,0.248,0.36,0.184,0.312,0.281,0.975,1
0.876,0.282,0.839,0.038,0.569,0.864,0.217,0.161,0.794,0.653,0
0.974,0.159,0.148,0.055,0.324,0.048,0.614,0.086,0.454,0.515,0
0.086,0.692,0.991,0.389,0.517,0.375,0.98,0.85,0.969,0.386,0
0.316,0.016,0.077,0.956,0.584,0.446,0.158,0.938,0.039,0.649,0
0.599,0.731,0.744,0.674,0.553,0.434,0.802,0.133,0.282,0.782,0
0.889,0.662,0.05,0.83,0.968,0.46,0.39,0.352,0.607,0.17,0
0.135,0.991,0.501,0.515,0.301,0.045,0.065,0.059,0.703,0.78,1
0.951,0.981,0.151,0.015,0.684,0.292,0.923,0.488,0.438,0.421,1
0.307,0.564,0.185,0.977,0.807,0.853,0.946,0.683,0.902,0.738,1
0.474,0.021,0.515,0.539,0.736,0.869,0.629,0.087,0.092,0.871,1
0.881,0.401,0.068,0.107,0.114,0.914,0.406,0.464,0.819,0.243,1
0.533,0.578,0.415,0.121,0.424,0.112,0.317,0.4,0.19,0.997,0
0.69,0.931,0.932,0.287,0.145,0.992,0.51,0.677,0.866,0.34,0
0.592,0.299,0.215,0.034,0.236,0.249,0.747,0.516,0.773,0.286,0
0.213,0.578,0.271,0.754,0.382,0.281,0.753,0.189,0.725,0.39,1
0.085,0.628,0.609,0.1,0.46,0.463,0.716,0.197,0.56,0.992,1
0.016,0.717,0.35,0.485,0.282,0.46,0.496,0.92,0.873,0.93,1
0.968,0.395,0.781,0.89,0.117,0.726,0.577,0.199,0.632,0.688,1
0.654,0.006,0.925,0.351,0.802,0.154,0.602,0.058,0.557,0.647,0
0.387,0.718,0.474,0.056,0.039,0.051,0.339,0.929,0.329,0.815,0
0.644,0.703,0.656,0.202,0.872,0.418,0.935,0.016,0.115,0.134,0
0.727,0.107,0.432,0.514,0.514,0.295,0.882,0.452,0.175,0.558,1
0.113,0.669,0.173,0.89,0.078,0.31,0.216,0.57,0.405,0.452,1
0.448,0.612,0.262,0.322,0.258,0.145,0.624,0.934,0.908,0.965,0
0.11,0.717,0.075,0.815,0.844,0.479,0.987,0.463,0.541,0.338,1
0.819,0.564,0.501,0.425,0.753,0.072,0.632,0.073,0.217,0.033,0
0.519,0.944,0.213,0.113,0.527,0.021,0.351,0.445,0.078,0.887,0
0.384,0.587,0.113,0.968,0.182,0.466,0.088,0.157,0.136,0.386,0
0.088,0.467,0.565,0.191,0.768,0.076,0.575,0.81,0.614,0.004,0
0.075,0.046,0.129,0.526,0.959,0.369,0.789,0.27,0.973,0.383,1
0.195,0.191,0.114,0.081,0.927,0.723,0.146,0.602,0.464,0.072,0
0.988,0.237,0.573,0.36,0.488,0.991,0.765,0.238,0.704,0.465,0
0.238,0.558,0.234,0.812,0.294,0.099,0.863,0.169,0.708,0.869,0
0.727,0.95,0.271,0.373,0.635,0.117,0.988,0.66,0.68,0.584,1
0.505,0.194,0.106,0.254,0.028,0.624,0.181,0.921,0.109,0.32,1
0.859,0.621,0.414,0.732,0.401,0.157,0.98,0.872,0.738,0.281,1
0.507,0.088,0.038,0.946,0.418,0.218,0.789,0.526,0.662,0.108,0
0.446,0.408,0.294,0.178,0.874,0.742,0.564,0.273,0.634,0.411,0
0.002,0.623,0.666,0.962,0.826,0.079,0.317,0.044,0.068,0.465,0
0.209,0.061,0.627,0.922,0.825,0.054,0.298,0.038,0.421,0.936,1
0.193,0.731,0.496,0.52,0.833,0.311,0.325,0.738,0.14,0.107,1
0.41,0.394,0.302,0.254,0.88,0.41,0.309,0.787,0.846,0.701,0
0.964,0.123,0.448,0.811,0.974,0.198,0.744,0.211,0.398,0.751,1
0.77,0.057,0.255,0.963,0.569,0.578,0.256,0.451,0.271,0.138,1
0.285,0.558,0.524,0.524,0.344,0.436,0.874,0.92,0.897,0.235,0
0.635,0.768,0.328,0.477,0.856,0.703,0.726,0.08,0.053,0.689,1
0.573,0.171,0.004,0.235,0.623,0.362,0.65,0.153,0.648,0.112,1
0.896,0.256,0.005,0.801,0.321,0.409,0.144,0.203,0.399,0.291,1
0.505,0.267,0.437,0.029,0.503,0.601,0.898,0.716,0.079,0.365,1
0.759,0.718,0.054,0.028,0.496,0.448,0.137,0.265,0.35,0.787,1
0.259,0.806,0.84,0.247,0.853,0.081,0.382,0.099,0.323,0.283,0
0.761,0.832,0.334,0.339,0.965,0.162,0.473,0.592,0.658,0.154,0
0.317,0.148,0.757,0.728,0.822,0.429,0.019,0.9,0.106,0.224,1
0.031,0.395,0.694,0.929,0.548,0.087,0.884,0.098,0.204,0.22,1
0.886,0.41,0.843,0.557,0.478,0.787,0.211,0.272,0.911,0.604,1
0.381,0.629,0.749,0.712,0.506,0.624,0.237,0.482,0.883,0.914,1
0.022,0.254,0.262,0.327,0.304,0.281,0.473,0.241,0.73,0.029,0
0.963,0.188,0.894,0.679,0.884,0.435,0.324,0.61,0.196,0.421,1
0.542,0.123,0.801,0.458,0.532,0.679,0.898,0.137,0.192,0.124,0
0.963,0.431,0.718,0.166,0.928,0.126,0.675,0.027,0.864,0.388,0
0.628,0.599,0.203,0.454,0.002,0.783,0.455,0.278,0.394,0.408,1
0.159,0.366,0.677,0.559,0.992,0.749,0.828,0.147,0.52,0.244,0
0.239,0.329,0.569,0.415,0.398,0.365,0.986,0.422,0.919,0.993,1
0.621,0.977,1.0,0.815,0.715,0.221,0.184,0.053,0.217,0.528,1
0.437,0.755,0.301,0.621,0.361,0.221,0.776,0.293,0.519,0.251,1
0.648,0.174,0.063,0.627,0.494,0.651,0.078,0.777,0.048,0.956,1
0.939,0.801,0.313,0.646,0.992,0.717,0.661,0.03,0.036,0.629,1
0.465,0.49,0.192,0.305,0.89,0.365,0.971,0.167,0.532,0.638,0
0.686,0.805,0.756,0.818,0.059,0.081,0.133,0.198,0.718,0.538,0
0.707,0.599,0.56,0.186,0.86,0.773,0.756,0.932,0.395,0.422,1
0.471,0.35,0.511,0.626,0.587,0.176,0.725,0.071,0.207,0.397,0
0.827,0.252,0.827,0.581,0.699,0.296,0.971,0.651,0.08,0.806,1
0.467,0.835,0.701,0.966,0.909,0.666,0.765,0.06,0.795,0.735,0
0.943,0.755,0.617,0.778,0.602,0.483,0.98,0.494,0.101,0.046,1
0.369,0.456,0.556,0.07,0.55,0.959,0.752,0.703,0.515,0.884,1
0.091,0.777,0.713,0.378,0.491,0.152,0.006,0.336,0.338,0.521,1
0.346,0.889,0.144,0.824,0.544,0.221,0.876,0.553,0.097,0.867,0
0.272,0.572,0.679,0.744,0.717,0.832,0.771,0.189,0.557,0.494,0
0.133,0.433,0.777,0.445,0.392,0.476,0.565,0.765,0.853,0.289,1
0.264,0.316,0.865,0.901,0.342,0.833,0.544,0.958,0.57,0.904,1
0.554,0.349,0.849,0.337,0.789,0.531,0.324,0.476,0.906,0.297,0
0.086,0.904,0.118,0.231,0.48,0.78,0.978,0.187,0.232,0.996,0
0.563,0.862,0.366,0.29,0.875,0.207,0.265,0.368,0.335,0.166,1
0.29,0.173,0.533,0.695,0.516,0.071,0.59,0.713,0.177,0.484,1
0.971,0.827,0.456,0.259,0.16,0.046,0.234,0.488,0.499,0.173,0
0.454,0.441,0.809,0.921,0.957,0.487,0.851,0.62,0.102,0.073,1
0.605,0.682,0.652,0.484,0.593,0.663,0.704,0.144,0.476,0.331,1
0.484,0.393,0.073,0.79,0.522,0.875,0.043,0.096,0.126,0.87,0
0.507,0.751,0.077,0.746,0.078,0.91,0.512,0.959,0.635,0.602,1
0.167,0.632,0.754,0.61,0.689,0.884,0.697,0.643,0.528,0.455,0
0.713,0.828,0.728,0.1,0.256,0.614,0.567,0.918,0.983,0.896,0
0.606,0.719,0.849,0.146,0.313,0.025,0.624,0.919,0.005,0.126,1
0.2,0.779,0.37,0.198,0.372,0.256,0.25,0.566,0.67,0.249,0
0.55,0.03,0.972,0.103,0.559,0.997,0.322,0.287,0.738,0.466,1
0.267,0.573,0.827,0.669,0.24,0.668,0.93,0.197,0.652,0.5,1
0.663,0.138,0.233,0.348,0.84,0.384,0.337,0.742,0.139,0.32,0
0.551,0.346,0.598,0.602,0.141,0.133,0.784,0.417,0.149,0.076,1
0.419,0.842,0.205,0.995,0.021,0.594,0.699,0.532,0.259,0.316,1
0.554,0.895,0.42,0.345,0.4,0.999,0.266,0.171,0.893,0.125,1
0.839,0.625,0.958,0.318,0.856,0.087,0.782,0.327,0.461,0.797,1
0.635,0.458,0.293,0.755,0.466,0.245,0.392,0.796,0.059,0.322,1
0.727,0.613,0.439,0.156,0.048,0.401,0.688,0.268,0.902,0.62,1
0.455,0.755,0.3,0.894,0.367,0.005,0.979,0.496,0.904,0.109,1
0.2,0.484,0.895,0.092,0.538,0.758,0.39,0.445,0.934,0.537,1
0.69,0.673,0.897,0.341,0.547,0.214,0.333,0.822,0.964,0.328,0
0.762,0.538,0.693,0.366,0.353,0.206,0.501,0.056,0.86,0.244,0
0.634,0.506,0.347,0.944,0.849,0.735,0.118,0.462,0.651,0.095,0
0.696,0.816,0.949,0.502,0.029,0.208,0.805,0.148,0.622,0.653,1
0.445,0.785,0.123,0.62,0.38,0.858,0.396,0.189,0.344,0.525,1
0.08,0.864,0.651,0.313,0.608,0.984,0.603,0.406,0.681,0.756,1
0.687,0.211,0.021,0.317,0.435,0.831,0.088,0.844,0.059,0.314,1
0.404,0.932,0.949,0.041,0.196,0.448,0.272,0.953,0.612,0.327,0
0.6,0.674,0.857,0.888,0.421,0.758,0.973,0.534,0.732,0.489,1
0.383,0.203,0.091,0.324,0.355,0.57,0.671,0.711,0.769,0.572,1
0.512,0.612,0.703,0.846,0.252,0.859,0.198,0.017,0.797,0.231,0
0.839,0.357,0.353,0.87,0.759,0.058,0.944,0.208,0.667,0.941,1
0.842,0.488,0.947,0.686,0.25,0.964,0.567,0.322,0.435,0.194,1
0.574,0.567,0.16,0.415,0.266,0.896,0.195,0.608,0.64,0.604,0
0.373,0.245,0.008,0.205,0.814,0.278,0.534,0.298,0.064,0.421,1
0.992,0.402,0.334,0.573,0.359,0.236,0.382,0.9,0.143,0.131,0
0.754,0.188,0.131,0.243,0.883,0.94,0.933,0.314,0.906,0.063,0
0.482,0.552,0.449,0.978,0.754,0.477,0.733,0.763,0.112,0.322,1
0.328,0.943,0.854,0.301,0.988,0.073,0.334,0.201,0.521,0.905,0
0.788,0.037,0.248,0.778,0.28,0.818,0.623,0.697,0.714,0.577,1
0.184,0.812,0.564,0.722,0.026,0.182,0.565,0.801,0.361,0.751,1
0.002,0.045,0.689,0.987,0.316,0.336,0.34,0.58,0.394,0.364,1
0.767,0.002,0.871,0.741,0.957,0.841,0.794,0.293,0.781,0.597,0
0.349,0.81,0.49,0.984,0.722,0.88,0.901,0.585,0.893,0.597,0
0.511,0.995,0.696,0.691,0.988,0.629,0.003,0.676,0.629,0.728,0
0.975,0.737,0.994,0.788,0.98,0.435,0.246,0.551,0.888,0.86,0
0.67,0.404,0.275,0.025,0.417,0.503,0.982,0.568,0.579,0.466,0
0.015,0.287,0.657,0.708,0.95,0.482,0.688,0.797,0.758,0.126,1
0.89,0.753,0.669,0.144,0.943,0.68,0.19,0.585,0.148,0.055,1
0.712,0.737,0.515,0.15,0.327,0.105,0.227,0.066,0.663,0.778,0
0.517,0.661,0.15,0.908,0.594,0.125,0.534,0.459,0.868,0.75,1
0.097,0.648,0.053,0.496,0.836,0.188,0.647,0.406,0.115,0.886,1
